12-04-2023 18:09:47.342 | 420  | [restartedMain] | INFO  | c.a.exercicio.ExercicioApplication - Starting ExercicioApplication using Java 19.0.2 with PID 39529 (/Users/elder/Documents/Santinho/spring/exercicio/target/classes started by elder in /Users/elder/Documents/Santinho/spring/exercicio)
12-04-2023 18:09:47.344 | 422  | [restartedMain] | INFO  | c.a.exercicio.ExercicioApplication - No active profile set, falling back to 1 default profile: "default"
12-04-2023 18:09:48.909 | 1987 | [restartedMain] | INFO  | c.a.exercicio.ExercicioApplication - Started ExercicioApplication in 1.732 seconds (process running for 2.157)
12-04-2023 18:10:30.266 | 43344 | [http-nio-8080-exec-1] | INFO  | c.a.e.services.TarefaService - Solicitado deletar a tarefa com id 2
12-04-2023 18:10:30.441 | 43519 | [http-nio-8080-exec-1] | INFO  | c.a.e.services.TarefaService - Solicitado deletar a tarefa com id 2
12-04-2023 18:11:12.546 | 85624 | [http-nio-8080-exec-2] | INFO  | c.a.e.services.TarefaService - Solicitado deletar a tarefa com id 2
12-04-2023 18:11:12.572 | 85650 | [http-nio-8080-exec-2] | INFO  | c.a.e.services.TarefaService - Solicitado deletar a tarefa com id 2
12-04-2023 18:11:32.395 | 105473 | [http-nio-8080-exec-3] | INFO  | c.a.e.services.TarefaService - Solicitado deletar a tarefa com id 2
12-04-2023 18:11:32.401 | 105479 | [http-nio-8080-exec-3] | INFO  | c.a.e.services.TarefaService - Solicitado deletar a tarefa com id 2
12-04-2023 18:11:34.108 | 107186 | [http-nio-8080-exec-4] | INFO  | c.a.e.services.TarefaService - Solicitado deletar a tarefa com id 2
12-04-2023 18:11:34.112 | 107190 | [http-nio-8080-exec-4] | INFO  | c.a.e.services.TarefaService - Solicitado deletar a tarefa com id 2
12-04-2023 18:11:45.613 | 118691 | [http-nio-8080-exec-5] | INFO  | c.a.e.services.TarefaService - Chamada de todas tarefas
12-04-2023 21:04:45.635 | 544  | [restartedMain] | INFO  | c.a.exercicio.ExercicioApplication - Starting ExercicioApplication using Java 19.0.2 with PID 57147 (/Users/elder/Documents/Santinho/spring/exercicio/target/classes started by elder in /Users/elder/Documents/Santinho/spring/exercicio)
12-04-2023 21:04:45.640 | 549  | [restartedMain] | INFO  | c.a.exercicio.ExercicioApplication - No active profile set, falling back to 1 default profile: "default"
12-04-2023 21:04:47.651 | 2560 | [restartedMain] | INFO  | c.a.exercicio.ExercicioApplication - Started ExercicioApplication in 2.254 seconds (process running for 2.694)
12-04-2023 21:10:50.765 | 365674 | [http-nio-8080-exec-2] | INFO  | c.a.e.services.UsuarioService - Chamada de todas usuarios
12-04-2023 21:11:03.952 | 378861 | [http-nio-8080-exec-3] | INFO  | c.a.e.services.UsuarioService - Chamada de usuario por id -> com ID = 1
12-04-2023 21:11:03.972 | 378881 | [http-nio-8080-exec-3] | WARN  | c.a.e.services.UsuarioService - Exemplo de WARN
